id,Chapter,C_name,string_kr,command,image_name,dir
1,0,도망자,헉...헉..,!police,Fugitive_normal_1,right
2,0,도망자,설리번의 늑대라니... ,,Fugitive_normal_1,right
3,0,도망자,제가 죽을 죄를 지었습니까?,,Fugitive_normal_1,right
4,0,도망자,조직에 충성한 댓가가 당신이라니!,,Fugitive_normal_1,right
5,0,리퍼,...,,Reaper_normal_1,left
6,0,도망자,믿어줘! 두목이 뭔가 오해가 있는 것 같아! ,,Fugitive_normal_1,right
7,0,리퍼,...,,Reaper_normal_1,left
8,0,도망자,제길... 젠장!!! 젠장!!!<br>이렇게 죽을 순 없어!!!,,Fugitive_normal_1,right
,,,,,_normal_1, 
9,0,리퍼,...,,Reaper_normal_1,left
10,0,리퍼,... 신물나는군,,Reaper_normal_1,left
,,,,,_normal_1, 
11,0,설리번,물어보지 않아도 잘 알겠군,,Sullivan_normal_1,right
12,0,설리번,리퍼답게 목표를 놓치는 법이 없어,,Sullivan_normal_1,right
13,0,리퍼,... 그는,,Reaper_normal_1,left
14,0,설리번,"참으로 충성스러운 부하였어, 믿을 만한 식구였지 ",,Sullivan_normal_1,right
15,0,설리번,하지만 도를 넘었어<br>그렇게만 알아두게,,Sullivan_normal_1,right
16,0,리퍼,...,,Reaper_normal_1,left
17,0,설리번,그보다 우리 구역에 검은 고양이 녀석들이 설친다는군,,Sullivan_normal_1,right
18,0,설리번,거리에 처음 보는 병이 굴러다니는데 유통자를 찾았다네,,Sullivan_normal_1,right
19,0,설리번,가서 조사를 부탁하네,,Sullivan_normal_1,right
