!speed 1 6 0.1,Chapter,C_name,string_kr,command,develop_note
10001,1,시민1,평소보다는 조용한 것 같지 않아요?,,0_0_1 씬
10002,1,시민2,오늘이라도 조용해야죠,,
10003,1,시민2,하루도 빠짐없이 총을 쏘며 싸우는데!!,,
10004,1,시민1,조금만 참으면 경찰이 해결해줄거라 믿어요..,,
10005,1,시민2,경찰들도 꼼짝 못 하는거 보셧지않으세요?!,,
10006,1,시민1,그렇지만 저희는 할 수 있는게...,,대화가 끝난 후. 총소리가 발생
10007,1,시민1,힉!!!,!speed 1 8 0.02,동시에 발생 & 시민이 도망감
10008,1,시민2,꺄아아아악!!!,!speed 1 8 0.02,
,,, ,,
10009,1,조지,정확히 어느 층인지는 모르겠으나,,리퍼와 조직원이 엄폐상태로 대화
10010,1,조지,이 건물이라는건 확실합니다,,
10011,1,리퍼,알겠다,,
10012,1,리퍼,먼저 들어가지,,
10013,1,조지,저희는 후방을 지원하겠습니다,,대화가 끝나고 리퍼가 달려감.
,,, ,,
10014,1,적군1,그 녀석은 분명히 올거야,,1_1_2 / 적군 대화
10015,1,적군2,우린 결국 죽는걸까?,!speed 1 6 0.1,
10016,1,적군1,기적은 없어,,
10017,1,적군1,하지만 우리의 죽음은 우리의 삶보다 가치있을거야,,
10018,1,적군2,하... 하하...,,
10019,1,적군2,다들 정신이 나갔군...,,
,,, ,,
10020,1,조직원1,이건 함정...,!speed 1 8 0.1,4번 애니메이션 존에 입장할 시 발생
10021,1,리퍼,정신 차려!,,리퍼가 달려가고 폭탄이 반짝이며 터짐
,,, ,,
10022,1,조지,차.. 찾았다..!,!speed 1 3 0.1,리퍼를 끌고 차로 이동함
10023,1,조직원2,서둘러!!!,,화면이 천천히 암전된다.
10024,1,설리번,나에게 진 빚이 있을텐데?,,조직원이 리퍼를 데려다준다.
10025,1,설리번,네가 살려내야 할 사람이다,,깜빡이다가 암전
10026,1,지젤,... 살리기만 하면 되는건가?,!speed 1 3 0.1,밝아졌다가 짧게 암전
10027,1,지젤,킥킥킥... 8번째인가...?,,지젤이 뒤를 돌아서있고 서서히 암전된다.
,,, ,,
10028,1,리퍼,윽...,!speed 1 4 0.1,리퍼가 천천히 일어난다.
10029,1,리퍼,여긴 어디지?,!speed 1 7 0.1,일어난 상태 그대로 말한다.
10030,1,지젤,서...,!speed 1 4 0.1,책상에 앉아있다가 뒤를 돌아보고 말한다.
10031,1,지젤,성공했다!!!,,만세를 하며 소리를 지른다.
10032,1,리퍼,난 분명...,!speed 1 7 0.1,일어난 상태 그대로 말한다.
10033,1,지젤,자네가 어떤 존재가 된 줄 알고있나?,,
10034,1,리퍼,도대체 무슨 짓을 한거지?,,
10035,1,지젤,인간을 뛰어넘은거야!!!,,리퍼가 지젤을 가격.
10036,1,지젤,킥킥킥...,,리퍼가 황급히 도망감
10037,1,지젤,날 미치게 하는군...,,화면이 점점 어두워짐
