id,Chapter,C_name,string_kr,command,develop_note
20001,2,리퍼,!!!!!,!size 1 5 24,1_1_1 씬
20002,2,리퍼,로벨리아!!!,!size 1 5 24,사진기자 앞에서 잠시 정적이 흐른다.
20003,2,사진기자,...안녕하세요?,!speed 1 3 0.1,사진기자는 뒤를 돌아본다.
20004,2,리퍼,죽여버리기 전에 당장 꺼져,,사진기자를 향해 총을 겨눈다
20005,2,사진기자,어... 조금 오해가 있긴한데,"!speed 1 4 0.1, !speed 6 8 0.02",황급히 일어나 손사래를 친다.
20006,2,사진기자,저는 데일리 포스트 소속 기자입니다,,
20007,2,사진기자,조금만 진정하시고,,
20008,2,사진기자,여기에 살던 여성분을 알고 계시나요?,!speed 1 5 0.1,손사래를 멈춤
20009,2,리퍼,...뭐?,!speed 1 3 0.1,잠시동안 정적
20010,2,사진기자,왜 그렇게까지 놀라세요?,,
20011,2,사진기자,설마 저를 스토커라고 생각하셨다면 절대 아닙니다,,
20012,2,사진기자,저는 취재말곤 관심도 없어요!,,
20013,2,사진기자,아니면 혹시... 선생님이 스토킹을...,"!speed 5 9 0.1, !speed 16 22 0.1",수상하다는 듯이 쳐다보는 자세
20014,2,리퍼,닥치고 목적이 뭔지 말해,,아직도 총을 겨누고있음
20015,2,사진기자,아,,스탠딩 자세로 변경
20016,2,사진기자,보시다시피 조사하는 중입니다,,목에 걸린 사진기가 반짝거림
20017,2,사진기자,일주일 전에 여성이 살해당했잖아요?,,
20018,2,리퍼,살해당했다고?,!size 1 7 24,
20019,2,사진기자,꽤 떠들썩했는데 모르고 계셨어요?,,
20020,2,리퍼,계속 얘기해,,
20021,2,사진기자,말해드릴순 있지만,,
20022,2,사진기자,저도 얻는게 있어야지 않겠어요?,,수상하다는 듯이 쳐다보는 자세
20023,2,사진기자,"이건 어때요?<br>저희가 ""거래"" 를 하는겁니다","!size 16 20 24, !speed 16 20 0.1",
20024,2,리퍼,먼저 정보를 넘기면 내가 아는걸 말해주지,,총을 코트 안에 집어넣음
20025,2,사진기자,도망치실 분은 아닌것같으니 먼저 얘기해드리자면,,
20026,2,사진기자,제가 취재중인 여성분은 이 근방에서 사망했어요,,스탠딩 자세로 변경
20027,2,사진기자,소식을 듣고 도착했을땐 경찰때문에 자세히 보진 못했지만,,
20028,2,사진기자,"떠도는 소문으론<br>""칼"" 에 여러번 찔렸다는걸 들은 것 같네요",!size 13 15 24,
20029,2,리퍼,그 사람이 이 집에서 살던 여인이라는 말인가?,,
20030,2,사진기자,여성은 맞지만...  <br>그 사람인지는 잘 모르겠네요,!speed 11 12 0.1,
20031,2,리퍼,그렇다면 그 여인의 인상착의는 알고있나?,,
20032,2,사진기자,취재하기 위해 도착했을땐 경찰때문에 자세히 보진 못했지만,,
20033,2,사진기자,금발을 봤던것같네요,,
20034,2,리퍼,금발...,,리퍼는 고개를 숙인다.
20035,2,리퍼,... 내가 찾는 사람이 맞을지도 모르겠군...,!speed 1 3 0.1,
20036,2,리퍼,그녀는 내 하나뿐인 가족이였다,,
20037,2,리퍼,평소라면 항상 그녀의 곁에 있었겠지만...,,대화가 끝난 후 잠시 뜸을 들인다
20038,2,사진기자,있었겠지만?,,
